sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18aaqqhis,155.7601,45.70252,0.06,1237658612513636451,155.76,45.70248,-99.0
ZTF18aaqjxid,200.8416,45.64423,0.11,1237661360760750448,200.8409,45.64501,-99.0
ZTF18aaqpjja,122.4735,35.07738,0.06236000000000001,1237657594075283477,122.4737,35.0766,0.06235965
ZTF18aarldnh,195.6555,55.92573,0.10772,1237661416060682348,195.656,55.9242,0.1077247
ZTF18aaqkqxi,167.9691,39.60503,0.0761,1237662226209308779,167.96900000000005,39.60504,0.07609885
ZTF18aarbify,155.0878,29.412640000000003,0.0811,1237664869218255059,155.0878,29.41263,0.08116088
ZTF18aarbgdn,155.6713,15.93911,0.0445,1237668496310206652,155.6714,15.93941,0.04449056
ZTF18aarcypa,167.4593,28.97138,0.032,1237667211596464313,167.4596,28.97134,0.03203689
ZTF18aaqgadq,222.2861,16.457720000000002,0.0719,1237668272443687096,222.287,16.45765,0.07191038
ZTF18aaqpkvx,118.7632,14.35757,0.0842,1237667255599104396,118.7634,14.357679999999998,0.08422649
ZTF18aataafd,214.8373,36.17211,0.077,1237662225151623376,214.8367,36.17228,0.07699823
ZTF18aaqcugm,202.053,53.916030000000006,0.06,1237658802042372158,202.0534,53.91171,0.06183284
ZTF18aarohda,195.6404,36.38749,0.106,1237664672179159150,195.6405,36.38702,-99.0
ZTF18aarqnje,251.3533,35.95604,0.115,1237659326568333845,251.3519,35.95577,-99.0
ZTF18abmjyvo,244.9343,50.55187,0.05584,1237654949452710042,244.9179,50.55401,0.05584438
ZTF18aasesgl,208.6127,39.72263,0.0858,1237662306187280568,208.6127,39.72259,0.08578687
ZTF18aaroihe,173.2606,62.74396,0.04825,1237655370896375907,173.2616,62.74652,0.04825287
ZTF18aahheaj,195.1105,18.61937,0.048,1237668296597700818,195.1118,18.61976,0.05270904
ZTF18aaqjhqz,129.9276,41.01537,0.1,1237657606963528041,129.9275,41.01654,-99.0
ZTF18aarxzmv,190.3997,35.57699,0.07,1237665025980760084,190.4032,35.57424,-99.0
ZTF18aaripcr,222.4095,25.37014,0.033927,1237665429711159362,222.3993,25.38133,0.03414708
ZTF18aasdted,261.4131,59.44677,0.01815,1237656529455939872,261.4097,59.44679,0.01815375
ZTF18aagstdc,237.5148,42.08848,0.03,1237659161199772454,237.5149,42.08845,-99.0
ZTF18aaqgbju,236.5666,29.09461,0.1,1237662340011196847,236.5667,29.09422,-99.0
ZTF18aaunfqq,238.58,39.45392,0.07109,1237659118794834035,238.5796,39.45388,0.07108651
ZTF18aauworo,239.671,21.12044,0.04981,1237665537078133157,239.6696,21.11749,0.04981421
ZTF18aavjnfx,248.9282,4.825874,0.06,1237662198293005502,248.929,4.8259120000000015,-99.0
ZTF18aauizcr,173.6161,46.36263,0.033839999999999995,1237660634927005771,173.6187,46.36058,0.03384244
ZTF18aauxltf,224.3692,5.842294,0.05,1237655744018579649,224.3674,5.843905,0.05862162
ZTF18aauhxce,177.5688,51.45344,0.08308,1237657628453437679,177.5678,51.45026,0.0830808
ZTF18aaumlfl,244.2708,50.79245,0.08737,1237668611197436158,244.2695,50.79015,0.08737274
